0,Solar radiation,Solar Panel,Precipitation,Wind speed,0,Battery,Leaf Wetness,HC Serial Number,HC Air temperature,0,0,HC Relative humidity,0,0,Dew Point,0,Latitude,Longitude,Altitude,Horizontal dilusion of position,VPD,0,Wind speed max,EAG Soil moisture,EAG Soil moisture,EAG Soil moisture,EAG Soil moisture,EAG Soil moisture,EAG Soil moisture,Eag soil salinity,Eag soil salinity,Eag soil salinity,Eag soil salinity,Eag soil salinity,Eag soil salinity,Soil temperature,0,0,Soil temperature,0,0,Soil temperature,0,0,Soil temperature,0,0,Soil temperature,0,0,Soil temperature,0,0,ETo[mm]
Date/Time,avg,last,sum,avg,max,last,time,last,avg,max,min,avg,max,min,avg,min,last,last,last,last,avg,min,max,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,max,min,avg,max,min,avg,max,min,avg,max,min,avg,max,min,avg,max,min,daily
2018-07-31 11:00:00,177,9025,0,7.9,9.7,6858,0,20202728,10.68,11.84,9.73,67.86,70.83,63.14,4.9,4.6,-10.421081,171.785323,62.8,0.8,4.1,3.5,15.8,28.71,32.29,26.29,24.54,21.56,34.51,1144.515,1308.0808,1098.3428,1211.8281,1109.5926,1324.1771,5.8,5.9,5.7,5.7,5.8,5.7,6.3,6.4,6.3,8,8,8,8.2,8.3,8.2,8.1,8.2,8.1,1
2018-07-31 10:00:00,61,6791,0,10.4,13.3,6556,0,20202728,9.95,10.8,9.49,66.53,69.47,60.52,3.9,3.4,-10.421081,171.785323,62.8,0.8,4.1,3.6,25.2,28.72,32.29,26.29,24.54,21.56,34.51,1143.8239,1305.8976,1101.4915,1212.3113,1109.0908,1318.612,5.6,5.8,5.5,5.7,5.8,5.7,6.3,6.4,6.3,8,8.1,8,8.3,8.4,8.2,8.2,8.3,8.1,1
2018-07-31 09:00:00,6,4126,0,13.3,16.6,6505,0,20202728,10.52,10.93,10.16,59.62,60.95,57.2,2.9,2.5,-10.421081,171.785323,62.8,0.8,5.1,4.8,35.6,28.74,32.28,26.3,24.54,21.57,34.51,1141.0323,1306.7398,1104.6812,1211.5107,1109.4673,1329.199,5.3,5.5,5.1,5.7,5.8,5.6,6.3,6.4,6.3,8,8.1,8,8.3,8.4,8.2,8.1,8.2,8.1,1
2018-07-31 08:00:00,0,786,0,8.6,17.6,6494,0,20202728,9.44,10.6,8.12,65.37,73.97,58.32,3.2,2.5,-10.421081,171.785323,62.8,0.8,4,2.8,25.9,28.76,32.27,26.3,24.55,21.57,34.51,1137.3891,1311.1758,1105.2077,1211.0761,1110.7319,1341.515,5.1,5.2,4.9,5.6,5.8,5.5,6.4,6.4,6.3,8,8.1,8,8.3,8.4,8.3,8.2,8.3,8.2,1
2018-07-31 07:00:00,0,0,0,2.5,4.3,6491,0,20202728,7.67,9.37,5.65,74.13,85.97,65.49,3.2,2.8,-10.421081,171.785323,62.8,0.8,2.7,1.2,7.9,28.77,32.28,26.3,24.55,21.57,34.51,1138.7575,1307.78,1109.7023,1210.5869,1110.0658,1340.4275,4.8,5,4.8,5.6,5.7,5.6,6.3,6.4,6.3,8,8.1,7.9,8.3,8.4,8.3,8.2,8.3,8.2,1
2018-07-31 06:00:00,0,0,0,2.7,5,6494,0,20202728,6.32,7.48,5.45,80.36,86.18,73.32,3.1,2.8,-10.421081,171.785323,62.8,0.8,1.8,1.2,7.2,28.77,32.29,26.3,24.55,21.56,34.51,1138.0464,1306.9035,1112.2973,1209.7015,1111.0198,1342.1949,4.8,5,4.8,5.6,5.7,5.6,6.4,6.5,6.4,8,8.1,8,8.3,8.4,8.3,8.2,8.3,8.2,1
2018-07-31 05:00:00,0,0,0,4.5,6.8,6488,0,20202728,6.16,6.35,5.91,79.45,82.36,77.14,2.8,2.5,-10.421081,171.785323,62.8,0.8,1.9,1.6,13.7,28.77,32.29,26.29,24.55,21.57,34.51,1136.7267,1305.1989,1114.8696,1208.7151,1113.0637,1333.4408,4.8,5,4.7,5.6,5.8,5.6,6.5,6.6,6.4,8,8.1,8,8.3,8.4,8.3,8.3,8.3,8.2,1
2018-07-31 04:00:00,0,0,0,9,10.8,6491,0,20202728,6.29,6.39,6.23,79.76,83.68,76.75,3,2.5,-10.421081,171.785323,62.8,0.8,1.9,1.5,21.6,28.78,32.3,26.29,24.56,21.57,34.52,1137.5806,1299.669,1114.9022,1207.9318,1114.4482,1327.3203,4.8,4.9,4.7,5.7,5.9,5.6,6.5,6.6,6.5,8,8.1,8,8.4,8.4,8.3,8.3,8.3,8.2,1
2018-07-31 03:00:00,0,0,0,11.2,14,6488,0,20202728,6.25,6.43,6.05,84,84.75,83.39,3.7,3.5,-10.421081,171.785323,62.8,0.8,1.4,1.4,24.1,28.79,32.29,26.29,24.56,21.57,34.52,1135.934,1304.9709,1108.9552,1208.4334,1113.1762,1326.2942,4.7,4.8,4.6,5.7,5.8,5.7,6.6,6.6,6.6,8,8.1,8,8.4,8.4,8.3,8.3,8.3,8.2,1
