0,Solar radiation,Solar Panel,Precipitation,Wind speed,0,Battery,Leaf Wetness,HC Serial Number,HC Air temperature,0,0,HC Relative humidity,0,0,Dew Point,0,Latitude,Longitude,Altitude,Horizontal dilusion of position,VPD,0,Wind speed max,EAG Soil moisture,EAG Soil moisture,EAG Soil moisture,EAG Soil moisture,EAG Soil moisture,EAG Soil moisture,Eag soil salinity,Eag soil salinity,Eag soil salinity,Eag soil salinity,Eag soil salinity,Eag soil salinity,Soil temperature,0,0,Soil temperature,0,0,Soil temperature,0,0,Soil temperature,0,0,Soil temperature,0,0,Soil temperature,0,0
Date/Time,avg,last,sum,avg,max,last,time,last,avg,max,min,avg,max,min,avg,min,last,last,last,last,avg,min,max,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,max,min,avg,max,min,avg,max,min,avg,max,min,avg,max,min,avg,max,min
2018-07-24 13:00:00,170,9111,0,7.2,8.6,6850,30,20202728,7.19,7.88,6.93,85.31,88.09,83.03,4.8,4.6,-10.421081,171.785323,62.8,0.8,1.4,1.2,13.7,32.28,33.52,26.57,24.34,21.31,34.29,1229.0013,1338.2953,1117.8,1211.5748,1110.5163,1337.2146,6.9,7,6.7,6.3,6.4,6.3,6.9,7,6.9,8.7,8.8,8.7,9,9,9,8.9,9,8.9
2018-07-24 12:00:00,250,9820,0,7.9,9.4,6861,60,20202728,7.27,7.83,6.69,85.17,89.74,79.73,4.9,4.4,-10.421081,171.785323,62.8,0.8,1.5,1,16.2,32.9,33.54,26.57,24.34,21.31,34.29,1243.5966,1339.4171,1117.0747,1211.9131,1111.03,1339.7823,6.6,6.7,6.4,6.3,6.4,6.2,6.9,7,6.9,8.7,8.8,8.7,9,9,9,9,9,8.9
2018-07-24 11:00:00,227,10319,0,7.6,9.4,6872,60,20202728,6.5,7.12,5.95,91.41,94.02,87.61,5.1,4.9,-10.421081,171.785323,62.8,0.8,0.7,0.5,14,34.5,33.57,26.55,24.33,21.3,34.29,1257.2872,1335.7328,1116.0505,1211.4151,1110.1168,1339.4168,5.9,6.3,5.7,6.1,6.2,6.1,7,7.1,6.9,8.7,8.8,8.7,9,9,9,8.9,9,8.9
2018-07-24 10:00:00,97,7084,0.6,7.9,9.7,6801,60,20202728,5.66,5.81,5.54,94.68,95.81,94.04,4.8,4.6,-10.421081,171.785323,62.8,0.8,0.4,0.3,15.1,34.41,33.57,26.54,24.32,21.3,34.28,1256.485,1336.3169,1116.2845,1210.7475,1109.9052,1339.5241,5.4,5.6,5.2,6.1,6.2,6.1,7,7.1,7,8.7,8.8,8.7,9,9,9,9,9,8.9
2018-07-24 09:00:00,24,6868,0,6.7,8.3,6613,60,20202728,5,5.42,4.75,96.49,97.07,95.78,4.4,4.3,-10.421081,171.785323,62.8,0.8,0.3,0.2,13,34.95,33.57,26.56,24.32,21.29,34.28,1258.8148,1335.148,1116.6717,1210.6182,1109.8081,1339.4435,5.1,5.2,5.1,6.1,6.2,6.1,7.1,7.2,7.1,8.7,8.8,8.7,9,9,9,8.9,9,8.9
2018-07-24 08:00:00,0,3585,1,6.5,8.3,6482,60,20202728,4.55,4.74,4.4,96.96,97.17,96.8,4,3.9,-10.421081,171.785323,62.8,0.8,0.2,0.2,14.4,35.99,33.52,26.57,24.32,21.29,34.28,1257.1433,1335.0371,1116.6305,1211.4698,1109.2645,1338.1557,5.1,5.2,5.1,6.1,6.3,6.1,7.2,7.3,7.1,8.7,8.8,8.7,9,9.1,9,9,9,8.9
2018-07-24 07:00:00,0,0,0.2,5.8,7.9,6491,45,20202728,4.49,4.55,4.46,97.59,97.95,97.3,4.1,4,-10.421081,171.785323,62.8,0.8,0.2,0.1,12.6,35.94,33.41,26.58,24.32,21.29,34.27,1314.5365,1557.3628,1228.1998,1630.5279,1252.5912,2366.5914,5.1,5.2,5.1,6.3,6.4,6.2,7.2,7.2,7.2,8.7,8.8,8.7,9,9.1,9,9,9,8.9
2018-07-24 06:00:00,0,0,1.8,6.8,9,6508,75,20202728,4.46,4.54,4.37,97.1,97.59,96.2,4,3.9,-10.421081,171.785323,62.8,0.8,0.2,0.2,14.4,33.56,33.15,26.37,24.31,21.28,34.27,1314.6168,1924.5112,1205.1489,1698.5496,1239.6148,2220.2069,5.2,5.4,5.2,6.3,6.4,6.3,7.2,7.3,7.2,8.7,8.8,8.7,9,9.1,9,8.9,9,8.9
2018-07-24 05:00:00,0,0,0,6.7,9,6494,60,20202728,4.66,4.83,4.48,96.08,96.47,95.63,4,3.9,-10.421081,171.785323,62.8,0.8,0.3,0.2,13,31.41,33.08,26.32,24.31,21.28,34.26,1301.3823,1863.1683,1236.7985,1820.1159,1265.6291,2093.8212,5.2,5.3,5.2,6.3,6.4,6.3,7.2,7.3,7.2,8.7,8.8,8.7,9,9.1,9,9,9,8.9
